id,value
COLOMBIA-2017.08(AGOSTO).COLOMBIA-COMO-DESTINO.LIMA,70
COLOMBIA-2017.08(AGOSTO).COLOMBIA-COMO-DESTINO.LOS-ANGELES,42
COLOMBIA-2017.08(AGOSTO).COLOMBIA-COMO-DESTINO.MADRID,55
COLOMBIA-2017.08(AGOSTO).COLOMBIA-COMO-DESTINO.MEXICO,45
COLOMBIA-2017.08(AGOSTO).COLOMBIA-COMO-DESTINO.MIAMI,90
COLOMBIA-2017.08(AGOSTO).COLOMBIA-COMO-DESTINO.NEW-YORK,62
COLOMBIA-2017.08(AGOSTO).COLOMBIA-COMO-DESTINO.ORLANDO,43
COLOMBIA-2017.08(AGOSTO).COLOMBIA-COMO-DESTINO.PANAMA,47
COLOMBIA-2017.08(AGOSTO).COLOMBIA-COMO-DESTINO.SAO-PAULO,49
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA,
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.ARUBA,40
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.CANCUN,49
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.LIMA,72
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.LONDRES,41
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.LOS-ANGELES,44
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.MADRID,56
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.MEXICO,49
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.MIAMI,90
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.NEW-YORK,79
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.SANTIAGO,46
COLOMBIA-2017.08(AGOSTO).DESDE-COLOMBIA.SAO-PAULO,41
COLOMBIA-2017.07(JULIO),
COLOMBIA-2017.07(JULIO).DOMESTICO,
COLOMBIA-2017.07(JULIO).DOMESTICO.LOCAL,2550
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO,
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO.CANCUN,48
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO.LIMA,74
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO.LOS-ANGELES,41
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO.MADRID,46
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO.MEXICO,41
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO.MIAMI,86
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO.NEW-YORK,60
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO.PANAMA,46
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO.SANTIAGO,50
COLOMBIA-2017.07(JULIO).COLOMBIA-COMO-DESTINO.SAO-PAULO,49
COLOMBIA-2017.07(JULIO).DESDE-COLOMBIA,
COLOMBIA-2017.07(JULIO).DESDE-COLOMBIA.CANCUN,43
COLOMBIA-2017.07(JULIO).DESDE-COLOMBIA.LIMA,65
COLOMBIA-2017.07(JULIO).DESDE-COLOMBIA.LOS-ANGELES,40
COLOMBIA-2017.07(JULIO).DESDE-COLOMBIA.MADRID,52
COLOMBIA-2017.07(JULIO).DESDE-COLOMBIA.MEXICO,42
COLOMBIA-2017.07(JULIO).DESDE-COLOMBIA.MIAMI,82
COLOMBIA-2017.07(JULIO).DESDE-COLOMBIA.NEW-YORK,70
COLOMBIA-2017.07(JULIO).DESDE-COLOMBIA.PANAMA,41
COLOMBIA-2017.07(JULIO).DESDE-COLOMBIA.SAO-PAULO,43
COLOMBIA-2017.06(JUNIO),
COLOMBIA-2017.06(JUNIO).DOMESTICO,
COLOMBIA-2017.06(JUNIO).DOMESTICO.LOCAL,2573
COLOMBIA-2017.06(JUNIO).COLOMBIA-COMO-DESTINO,
COLOMBIA-2017.06(JUNIO).COLOMBIA-COMO-DESTINO.CANCUN,46
COLOMBIA-2017.06(JUNIO).COLOMBIA-COMO-DESTINO.LIMA,45
COLOMBIA-2017.06(JUNIO).COLOMBIA-COMO-DESTINO.LOS-ANGELES,42
COLOMBIA-2017.06(JUNIO).COLOMBIA-COMO-DESTINO.MADRID,45
COLOMBIA-2017.06(JUNIO).COLOMBIA-COMO-DESTINO.MEXICO,45
COLOMBIA-2017.06(JUNIO).COLOMBIA-COMO-DESTINO.MIAMI,79
COLOMBIA-2017.06(JUNIO).COLOMBIA-COMO-DESTINO.NEW-YORK,60
COLOMBIA-2017.06(JUNIO).COLOMBIA-COMO-DESTINO.ORLANDO,41
COLOMBIA-2017.06(JUNIO).COLOMBIA-COMO-DESTINO.SAO-PAULO,43
COLOMBIA-2017.06(JUNIO).DESDE-COLOMBIA,
COLOMBIA-2017.06(JUNIO).DESDE-COLOMBIA.CANCUN,51
COLOMBIA-2017.06(JUNIO).DESDE-COLOMBIA.LIMA,49
COLOMBIA-2017.06(JUNIO).DESDE-COLOMBIA.LONDRES,40
COLOMBIA-2017.06(JUNIO).DESDE-COLOMBIA.LOS-ANGELES,43
COLOMBIA-2017.06(JUNIO).DESDE-COLOMBIA.MADRID,53
COLOMBIA-2017.06(JUNIO).DESDE-COLOMBIA.MEXICO,43
COLOMBIA-2017.06(JUNIO).DESDE-COLOMBIA.MIAMI,82
COLOMBIA-2017.06(JUNIO).DESDE-COLOMBIA.NEW-YORK,71
COLOMBIA-2017.06(JUNIO).DESDE-COLOMBIA.ORLANDO,40
COLOMBIA-2017.03(MARZO),
COLOMBIA-2017.03(MARZO).DOMESTICO,
COLOMBIA-2017.03(MARZO).DOMESTICO.LOCAL,2468
COLOMBIA-2017.03(MARZO).COLOMBIA-COMO-DESTINO,
COLOMBIA-2017.03(MARZO).COLOMBIA-COMO-DESTINO.CANCUN,45
COLOMBIA-2017.03(MARZO).COLOMBIA-COMO-DESTINO.LIMA,65
COLOMBIA-2017.03(MARZO).COLOMBIA-COMO-DESTINO.LONDRES,40
COLOMBIA-2017.03(MARZO).COLOMBIA-COMO-DESTINO.MADRID,46
COLOMBIA-2017.03(MARZO).COLOMBIA-COMO-DESTINO.MEXICO,44
COLOMBIA-2017.03(MARZO).COLOMBIA-COMO-DESTINO.MIAMI,74
COLOMBIA-2017.03(MARZO).COLOMBIA-COMO-DESTINO.NEW-YORK,57
COLOMBIA-2017.03(MARZO).COLOMBIA-COMO-DESTINO.PANAMA,48
COLOMBIA-2017.03(MARZO).COLOMBIA-COMO-DESTINO.SAO-PAULO,47
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA,
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA.CANCUN,46
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA.LIMA,67
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA.LONDRES,42
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA.LOS-ANGELES,41
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA.MADRID,52
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA.MEXICO,44
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA.MIAMI,75
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA.NEW-YORK,64
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA.PANAMA,43
COLOMBIA-2017.03(MARZO).DESDE-COLOMBIA.SAO-PAULO,41
COLOMBIA-2017.05(MAYO),
COLOMBIA-2017.05(MAYO).DOMESTICO,
COLOMBIA-2017.05(MAYO).DOMESTICO.LOCAL,2637
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO,
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.BUENOS-AIRES,42
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.CANCUN,48
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.LIMA,61
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.LONDRES,40
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.LOS-ANGELES,44
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.MADRID,47
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.MEXICO,45
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.MIAMI,80
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.NEW-YORK,55
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.PANAMA,48
COLOMBIA-2017.05(MAYO).COLOMBIA-COMO-DESTINO.SAO-PAULO,57
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA,
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA.CANCUN,47
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA.LIMA,64
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA.LONDRES,40
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA.LOS-ANGELES,44
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA.MADRID,49
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA.MEXICO,45
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA.MIAMI,79
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA.NEW-YORK,69
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA.PANAMA,42
COLOMBIA-2017.05(MAYO).DESDE-COLOMBIA.SAO-PAULO,43
